date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:19:34	6514/6514	---M--	200	added ('OK')	text/html	etag:%2280156837cef8ca1:5897%22	http://www.clb-ami1.be/zoersel2.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/zoersel2.htm	(from http://www.clb-ami1.be/)
09:19:38	89209/89209	---M--	200	added ('OK')	image/gif	etag:%22ca58bbfc6ca7c71:5897%22	http://www.clb-ami1.be/images/Telefoon%20bewegend.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/images/Telefoon%20bewegend.gif	(from http://www.clb-ami1.be/)
09:19:38	2131/2131	---M--	200	added ('OK')	image/gif	etag:%225d95a840cef8ca1:5897%22	http://www.clb-ami1.be/_derived/wat_doen_wij.htm_cmp_eclipse110_bnr.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/wat_doen_wij.htm_cmp_eclipse110_bnr.gif	(from http://www.clb-ami1.be/)
09:19:39	1097/1097	---M--	200	added ('OK')	image/gif	etag:%22e1e67840cef8ca1:5897%22	http://www.clb-ami1.be/_derived/wat_doen_wij.htm_cmp_Pixel100_vbtn_p.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/wat_doen_wij.htm_cmp_Pixel100_vbtn_p.gif	(from http://www.clb-ami1.be/)
09:19:39	28408/28408	---M--	200	added ('OK')	image/jpeg	etag:%22c088932a2f4ac91:5897%22	http://www.clb-ami1.be/CLB1.JPG	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/CLB1.JPG	(from http://www.clb-ami1.be/)
09:19:46	42132/42132	---M--	200	added ('OK')	application/pdf	etag:%22d4d34cf56ca7c71:5897%22	http://www.clb-ami1.be/documenten/Mission%20Statement.pdf	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/documenten/Mission%20Statement.pdf	(from http://www.clb-ami1.be/)
09:19:47	2062/2062	---M--	200	added ('OK')	image/gif	etag:%2234497b40cef8ca1:5897%22	http://www.clb-ami1.be/_derived/4_domeinen.htm_cmp_eclipse110_bnr.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/4_domeinen.htm_cmp_eclipse110_bnr.gif	(from http://www.clb-ami1.be/)
09:19:47	1076/1076	---M--	200	added ('OK')	image/gif	etag:%22bea99c40cef8ca1:5897%22	http://www.clb-ami1.be/_derived/4_domeinen.htm_cmp_Pixel100_vbtn_p.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/4_domeinen.htm_cmp_Pixel100_vbtn_p.gif	(from http://www.clb-ami1.be/)
09:19:48	10295/10295	---M--	200	added ('OK')	text/html	etag:%2280d1227eccecc1:5897%22	http://www.clb-ami1.be/preventieve_gezondheidszorg.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/preventieve_gezondheidszorg.htm	(from http://www.clb-ami1.be/)
09:19:48	7608/7608	---M--	200	added ('OK')	text/html	etag:%2280156837cef8ca1:5897%22	http://www.clb-ami1.be/leren_en_studeren.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/leren_en_studeren.htm	(from http://www.clb-ami1.be/)
09:19:48	7457/7457	---M--	200	added ('OK')	text/html	etag:%2280156837cef8ca1:5897%22	http://www.clb-ami1.be/schoolloopbaan.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/schoolloopbaan.htm	(from http://www.clb-ami1.be/)
09:19:48	7487/7487	---M--	200	added ('OK')	text/html	etag:%2280156837cef8ca1:5897%22	http://www.clb-ami1.be/psychisch_&_sociaal_functioneren.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/psychisch_&_sociaal_functioneren.htm	(from http://www.clb-ami1.be/)
09:19:50	8543/8543	---M--	200	added ('OK')	image/gif	etag:%22a75853fb6ca7c71:5897%22	http://www.clb-ami1.be/images/puzzel%20%204%20domeinen[1].gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/images/puzzel%20%204%20domeinen[1].gif	(from http://www.clb-ami1.be/)
09:19:51	2241/2241	---M--	200	added ('OK')	image/gif	etag:%2242fb6c40cef8ca1:5897%22	http://www.clb-ami1.be/_derived/kansenbevordering.htm_cmp_eclipse110_bnr.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/kansenbevordering.htm_cmp_eclipse110_bnr.gif	(from http://www.clb-ami1.be/)
09:19:51	1141/1141	---M--	200	added ('OK')	image/gif	etag:%2234497b40cef8ca1:5897%22	http://www.clb-ami1.be/_derived/kansenbevordering.htm_cmp_Pixel100_vbtn_p.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/kansenbevordering.htm_cmp_Pixel100_vbtn_p.gif	(from http://www.clb-ami1.be/)
09:19:51	77/77	---M--	200	added ('OK')	image/gif	etag:%222e1fa2eb6ca7c71:5897%22	http://www.clb-ami1.be/_themes/eclipse/aeclbul1.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_themes/eclipse/aeclbul1.gif	(from http://www.clb-ami1.be/)
09:20:00	47294/47294	---M--	200	added ('OK')	application/pdf	etag:%22c8592fc16ca7c71:5897%22	http://www.clb-ami1.be/inschrijvingsrecht%202007.pdf	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/inschrijvingsrecht%202007.pdf	(from http://www.clb-ami1.be/)
